id,appellation
1,"Alsace ou Vin d'Alsace"
2,"Crémant d’Alsace"
4,"Côtes de Toul"
8,"Barsac"
9,"Béarn"
10,"Bergerac"
12,"Côtes de Bergerac"
13,"Blaye"
14,"Bordeaux"
18,"Côtes de Bourg, Bourg et Bourgeais"
19,"Buzet"
20,"Cadillac"
21,"Cahors"
22,"Canon Fronsac"
23,"Cérons"
24,"Côtes de Blaye"
25,"Côtes de Bordeaux-Saint-Macaire"
27,"Côtes de Duras"
28,"Côtes de Montravel"
29,"Fronton"
30,"Côtes du Marmandais"
31,"Crémant de Bordeaux"
32,"Entre-deux-Mers"
33,"Fronsac"
34,"Gaillac"
36,"Gaillac premières côtes"
37,"Graves"
38,"Graves de Vayres"
39,"Haut-Médoc"
40,"Haut-Montravel"
41,"Irouléguy"
42,"Jurançon"
44,"Lalande-de-Pomerol"
45,"Listrac-Médoc"
46,"Loupiac"
47,"Lussac-Saint-Emilion"
48,"Madiran"
49,"Pacherenc du Vic-Bilh"
51,"Marcillac"
52,"Margaux"
53,"Médoc"
54,"Monbazillac"
55,"Montagne-Saint-Emilion"
56,"Montravel"
57,"Moulis ou Moulis-en-Médoc"
59,"Pauillac"
60,"Pécharmant"
61,"Pessac-Léognan"
62,"Pomerol"
64,"Premières Côtes de Bordeaux"
65,"Puisseguin-Saint-Emilion"
66,"Rosette"
67,"Saint-Emilion"
68,"Saint-Emilion grand cru"
69,"Saint-Estèphe"
70,"Saint-Georges-Saint-Emilion"
71,"Saint-Julien"
72,"Sainte-Croix-du-Mont"
74,"Saussignac"
75,"Sauternes"
76,"Anjou"
77,"Anjou-Coteaux de la Loire"
79,"Anjou Villages"
80,"Bonnezeaux"
81,"Bourgueil"
82,"Cabernet d'Anjou"
84,"Cheverny"
85,"Chinon"
86,"Coteaux de l'Aubance"
87,"Coteaux de Saumur"
88,"Coteaux du Layon"
89,"Coteaux du Loir"
90,"Cour-Cheverny"
91,"Crémant de Loire"
92,"Jasnières"
93,"Menetou-Salon"
94,"Montlouis-sur-Loire"
97,"Muscadet"
98,"Muscadet Coteaux de la Loire"
99,"Muscadet Côtes de Grandlieu"
100,"Muscadet Sèvre et Maine"
101,"Pouilly-Fumé ou Blanc Fumé de Pouilly"
102,"Pouilly-sur-Loire"
103,"Quarts de Chaume"
104,"Quincy"
105,"Reuilly"
106,"Rosé d'Anjou"
107,"Rosé de Loire"
108,"Saint-Nicolas-de-Bourgueil"
109,"Sancerre"
110,"Saumur"
112,"Savennières"
113,"Touraine"
119,"Vouvray"
122,"Saumur-Champigny"
123,"Touraine Noble Joué"
124,"Anjou Brissac"
125,"Coteaux du Giennois"
126,"Aloxe-Corton"
127,"Arbois"
129,"Auxey-Duresses"
130,"Bâtard-Montrachet"
134,"Beaune"
135,"Bienvenues-Bâtard-Montrachet"
136,"Blagny"
137,"Bonnes-Mares"
138,"Bourgogne"
140,"Bourgogne aligoté"
141,"Bourgogne mousseux"
144,"Bourgogne Passe-tout-grains"
145,"Brouilly"
146,"Chablis"
147,"Chablis Grand Cru"
148,"Chambertin"
149,"Chambertin-Clos de Bèze"
150,"Chambolle-Musigny"
151,"Chapelle-Chambertin"
152,"Charlemagne"
153,"Charmes-Chambertin"
154,"Chassagne-Montrachet"
155,"Château-Chalon"
156,"Chénas"
157,"Chevalier-Montrachet"
158,"Chiroubles"
159,"Chorey-lès-Beaune"
160,"Clos de la Roche"
161,"Clos de Tart"
162,"Clos de Vougeot ou Clos Vougeot"
163,"Clos des Lambrays"
164,"Clos Saint-Denis"
165,"Corton"
166,"Corton-Charlemagne"
167,"Côte de Beaune"
168,"Côte de Beaune-Villages"
169,"Côte de Brouilly"
170,"Côte roannaise"
